"feature","id","fc","pval","qval"
"gene","MSTRG.6938",3.0611333391336,1.42663658664333e-13,9.09052833009127e-10
"gene","MSTRG.539",0.289321583181154,1.68399738598168e-11,5.36521567173764e-08
"gene","MSTRG.6609",0.742713504897945,3.56065732454169e-09,7.56283615732656e-06
"gene","MSTRG.7847",0.712770127981637,1.46091398978143e-08,2.11353481995857e-05
"gene","MSTRG.3867",0.722917855349915,1.67840707998579e-08,2.11353481995857e-05
"gene","MSTRG.3006",1.54714911719119,1.99014578150525e-08,2.11353481995857e-05
"gene","MSTRG.2206",1.61480593035241,3.15185717525424e-08,2.86909056010286e-05
"gene","MSTRG.10146",1.43703000471842,4.2213597728491e-08,3.36231305907431e-05
"gene","MSTRG.2735",0.500660632153462,4.81452826495143e-08,3.40868601158562e-05
"gene","MSTRG.4345",1.56227788110767,5.62471265119768e-08,3.58406690134316e-05
"gene","MSTRG.8809",0.891451746182185,2.03938019360805e-07,0.000118135732669732
"gene","MSTRG.7435",1.63012583200093,2.41444749415898e-07,0.000128207161939842
"gene","MSTRG.11492",1.59436127928232,3.12653385070583e-07,0.000147052595783492
"gene","MSTRG.2188",2.48001351880558,3.38134036104165e-07,0.000147052595783492
"gene","MSTRG.11055",5.26092313298922,3.46169010789765e-07,0.000147052595783492
"gene","MSTRG.11885",0.785060706122497,4.91130396906847e-07,0.000191895270639009
"gene","MSTRG.4860",2.98624299785424,5.39539278365808e-07,0.000191895270639009
"gene","MSTRG.606",0.597501185758626,5.42077035703414e-07,0.000191895270639009
"gene","MSTRG.12566",1.20221336965691,5.91984176012694e-07,0.000197154016152523
"gene","MSTRG.6651",0.630108254772162,6.18813610020474e-07,0.000197154016152523
"gene","MSTRG.890",1.43938818728882,6.98160225409694e-07,0.000205030056853078
"gene","MSTRG.10852",1.66095188401799,7.07887829687337e-07,0.000205030056853078
"gene","MSTRG.5416",3.22103887938018,7.813879141505e-07,0.000210868866166392
"gene","MSTRG.1684",1.43049039865796,7.94233017575863e-07,0.000210868866166392
"gene","MSTRG.1325",1.51568594408888,9.25238852866883e-07,0.000231036771971167
"gene","MSTRG.6410",0.803609198100123,9.42711247842176e-07,0.000231036771971167
"gene","MSTRG.7829",0.661684230477272,1.07733097953755e-06,0.000254250111170862
"gene","MSTRG.493",0.767961004550442,1.1574801748182e-06,0.000263409416926486
"gene","MSTRG.628",1.47580318081988,1.26878923079055e-06,0.000271320355949957
"gene","MSTRG.2611",0.67167686992672,1.29902906653712e-06,0.000271320355949957
"gene","MSTRG.6927",0.656886537382524,1.31998289931712e-06,0.000271320355949957
"gene","MSTRG.12558",1.47490896728193,1.47247230097847e-06,0.000291324445782948
"gene","MSTRG.9926",1.97882950283391,1.52828285693296e-06,0.000291324445782948
"gene","MSTRG.9598",0.573560670905804,1.55446188898622e-06,0.000291324445782948
"gene","MSTRG.12348",0.380669655360575,1.60705555041218e-06,0.000292575941920755
"gene","MSTRG.3439",0.386781862320295,1.74035010225282e-06,0.000301098151704906
"gene","MSTRG.2817",1.27721482858486,1.7905556743969e-06,0.000301098151704906
"gene","MSTRG.7749",0.729724174718185,1.79562614011086e-06,0.000301098151704906
"gene","MSTRG.5180",1.44691278136641,1.85198336755121e-06,0.00030258559020606
"gene","MSTRG.8351",1.28422192589486,1.94375881679143e-06,0.000309640779514875
"gene","MSTRG.247",1.67299065742985,2.01435607283251e-06,0.000313060412099726
"gene","MSTRG.726",1.31361341563837,2.09739974621481e-06,0.000313208655122795
"gene","MSTRG.4334",0.459931325299319,2.1136177291714e-06,0.000313208655122795
"gene","MSTRG.3455",0.522194903758216,2.31876198097947e-06,0.000335798894154572
"gene","MSTRG.3027",0.463597655339581,2.58203038394633e-06,0.000365615502366801
"gene","MSTRG.3160",0.753615175459628,2.68444638074072e-06,0.000371854181262606
"gene","MSTRG.12696",2.7763269064214,2.86252776482421e-06,0.000382055804934982
"gene","MSTRG.8366",2.69346388662802,2.91039889321887e-06,0.000382055804934982
"gene","MSTRG.6755",1.13932062647903,2.93796836814408e-06,0.000382055804934982
"gene","MSTRG.4680",0.521688493230271,3.15764979030853e-06,0.000397880392434818
"gene","MSTRG.1965",2.34910659726348,3.24432324094737e-06,0.000397880392434818
"gene","MSTRG.8375",0.554366334794202,3.28439198959973e-06,0.000397880392434818
"gene","MSTRG.11478",0.645506615878422,3.30942573745219e-06,0.000397880392434818
"gene","MSTRG.10855",0.763024546134065,3.41972328932183e-06,0.000403527348139976
"gene","MSTRG.8876",1.39157399998396,3.57865965738835e-06,0.000412937596416093
